,orderId,status,Timestamp,distributorId,originalDistributorId,hubId,quantity,Amount,hubCode,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,1,status_b,13/09/22 2:30,1,1.0,1.0,13,1487.04,a,,,,,,,
1,1,status_b,13/09/22 2:30,1,1.0,1.0,7,1205.58,a,,,,,,,
2,1,status_b,13/09/22 2:30,1,1.0,1.0,2,535.5,a,,,,,,,
3,1,status_b,13/09/22 2:38,2,2.0,1.0,2,377.91,a,,,,,,,
4,1,status_b,13/09/22 2:38,2,2.0,1.0,10,420.45,a,,,,,,,
5,1,status_b,13/09/22 2:41,3,3.0,1.0,45,709.64,a,,,,,,,
6,1,status_b,13/09/22 2:57,4,4.0,1.0,3,347.04,a,,,,,,,
7,1,status_b,13/09/22 3:15,5,5.0,1.0,11,1521.48,a,,,,,,,
8,1,status_b,13/09/22 3:15,5,5.0,1.0,3,947.2,a,,,,,,,
9,1,status_b,13/09/22 3:35,6,6.0,1.0,1,504.42,a,,,,,,,
10,1,status_b,13/09/22 3:35,6,6.0,1.0,1,361.56,a,,,,,,,
11,1,status_b,13/09/22 4:01,7,,1.0,2,921.6,a,,,,,,,
12,1,status_b,13/09/22 4:01,7,7.0,1.0,1,84.13,a,,,,,,,
13,1,status_b,13/09/22 4:39,12,12.0,2.0,15,360.12,b,,,,,,,
14,1,status_b,13/09/22 5:20,13,13.0,2.0,6,1913.1,b,,,,,,,
15,1,status_b,13/09/22 5:22,1,1.0,1.0,6,3012.8,a,,,,,,,
16,1,status_b,13/09/22 6:21,2,2.0,1.0,25,752.24,a,,,,,,,
17,1,status_b,13/09/22 6:31,18,18.0,1.0,4,980.28,a,,,,,,,
18,1,status_b,13/09/22 6:31,18,18.0,1.0,5,854.46,a,,,,,,,
19,1,status_b,13/09/22 6:41,7,7.0,1.0,7,3488.68,a,,,,,,,
20,1,status_b,13/09/22 6:47,5,5.0,1.0,6,639.64,a,,,,,,,
21,1,status_b,13/09/22 6:52,5,5.0,1.0,4,57.52,a,,,,,,,
22,1,status_b,13/09/22 7:25,1,1.0,1.0,4,2754.16,a,,,,,,,
23,1,status_b,13/09/22 7:25,1,1.0,1.0,1,784.62,a,,,,,,,
24,1,status_b,13/09/22 7:25,1,1.0,1.0,2,981.12,a,,,,,,,
25,1,status_b,13/09/22 7:28,1,1.0,1.0,1,69.05,a,,,,,,,
26,1,status_b,13/09/22 8:05,13,13.0,2.0,2,725.96,b,,,,,,,
27,1,status_b,13/09/22 8:05,13,13.0,2.0,1,1048.53,b,,,,,,,
28,1,status_b,13/09/22 8:29,6,6.0,1.0,3,7267.28,a,,,,,,,
29,1,status_b,13/09/22 8:40,12,12.0,2.0,2,573.06,b,,,,,,,
30,1,status_b,13/09/22 9:00,9,9.0,2.0,13,16658.73,b,,,,,,,
31,1,status_b,13/09/22 9:23,10,10.0,2.0,5,700.6,b,,,,,,,
32,1,status_b,13/09/22 9:29,1,1.0,1.0,3,659.33,a,,,,,,,
33,1,status_b,13/09/22 9:41,24,24.0,2.0,14,7019.0,b,,,,,,,
34,1,status_b,13/09/22 11:52,12,12.0,2.0,20,1535.3,b,,,,,,,
